Costo diario y mensual  ,,,,,,,,,,,,
Canasta Básica Alimentaria,,,,,,,,,,,,
Año,NoMes,Mes,Costo diario (Q),Costo mensual (Q),Variación mensual %,Variación interanual %,,,,,,
1995,1,Enero,30.76,922.86,,,,,,,,
1995,2,Febrero,30.71,921.30,-0.17,,,,,,,
1995,3,Marzo,30.72,921.65,0.04,,,,,,,
1995,4,Abril,30.70,921.12,-0.06,,,,,,,
1995,5,Mayo,31.38,941.46,2.21,,,,,,,
1995,6,Junio,31.77,952.99,1.22,,,,,,,
1995,7,Julio,31.39,941.77,-1.18,,,,,,,
1995,8,Agosto,31.81,954.17,1.32,,,,,,,
1995,9,Septiembre,31.52,945.60,-0.90,,,,,,,
1995,10,Octubre,31.04,931.26,-1.52,,,,,,,
1995,11,Noviembre,31.98,959.41,3.02,,,,,,,
1995,12,Diciembre,32.51,975.31,1.66,,,,,,,
1996,1,Enero,32.77,983.19,0.81,6.54,,,,,,
1996,2,Febrero,33.04,991.11,0.81,7.58,,,,,,
1996,3,Marzo,33.58,"1,007.41",1.64,9.31,,,,,,
1996,4,Abril,34.61,"1,038.38",3.07,12.73,,,,,,
1996,5,Mayo,34.67,"1,040.13",0.17,10.48,,,,,,
1996,6,Junio,34.88,"1,046.43",0.61,9.80,,,,,,
1996,7,Julio,35.79,"1,073.65",2.60,14.00,,,,,,
1996,8,Agosto,36.94,"1,108.16",3.21,16.14,,,,,,
1996,9,Septiembre,37.13,"1,114.02",0.53,17.81,,,,,,
1996,10,Octubre,37.38,"1,121.51",0.67,20.43,,,,,,
1996,11,Noviembre,37.61,"1,128.34",0.61,17.61,,,,,,
1996,12,Diciembre,37.65,"1,129.49",0.10,15.81,,,,,,
1997,1,Enero,37.19,"1,115.82",-1.21,13.49,,,,,,
1997,2,Febrero,36.79,"1,103.72",-1.08,11.36,,,,,,
1997,3,Marzo,37.48,"1,124.34",1.87,11.61,,,,,,
1997,4,Abril,37.55,"1,126.38",0.18,8.47,,,,,,
1997,5,Mayo,37.89,"1,136.63",0.91,9.28,,,,,,
1997,6,Junio,38.10,"1,143.08",0.57,9.24,,,,,,
1997,7,Julio,38.16,"1,144.72",0.14,6.62,,,,,,
1997,8,Agosto,38.15,"1,144.63",-0.01,3.29,,,,,,
1997,9,Septiembre,38.09,"1,142.64",-0.17,2.57,,,,,,
1997,10,Octubre,38.36,"1,150.88",0.72,2.62,,,,,,
1997,11,Noviembre,38.48,"1,154.30",0.30,2.30,,,,,,
1997,12,Diciembre,38.71,"1,161.25",0.60,2.81,,,,,,
1998,1,Enero,38.63,"1,158.93",-0.20,3.86,,,,,,
1998,2,Febrero,38.50,"1,154.90",-0.35,4.64,,,,,,
1998,3,Marzo,39.14,"1,174.17",1.67,4.43,,,,,,
1998,4,Abril,39.79,"1,193.73",1.67,5.98,,,,,,
1998,5,Mayo,40.04,"1,201.07",0.61,5.67,,,,,,
1998,6,Junio,38.26,"1,147.85",-4.43,0.42,,,,,,
1998,7,Julio,38.53,"1,155.86",0.70,0.97,,,,,,
1998,8,Agosto,38.19,"1,145.84",-0.87,0.11,,,,,,
1998,9,Septiembre,36.02,"1,080.61",-5.69,-5.43,,,,,,
1998,10,Octubre,37.45,"1,123.39",3.96,-2.39,,,,,,
1998,11,Noviembre,39.52,"1,185.48",5.53,2.70,,,,,,
1998,12,Diciembre,39.60,"1,188.08",0.22,2.31,,,,,,
1999,1,Enero,39.39,"1,181.74",-0.53,1.97,,,,,,
1999,2,Febrero,38.88,"1,166.49",-1.29,1.00,,,,,,
1999,3,Marzo,38.41,"1,152.30",-1.22,-1.86,,,,,,
1999,4,Abril,37.78,"1,133.36",-1.64,-5.06,,,,,,
1999,5,Mayo,37.72,"1,131.53",-0.16,-5.79,,,,,,
1999,6,Junio,37.87,"1,135.96",0.39,-1.04,,,,,,
1999,7,Julio,38.25,"1,147.63",1.03,-0.71,,,,,,
1999,8,Agosto,38.54,"1,156.30",0.76,0.91,,,,,,
1999,9,Septiembre,38.53,"1,155.90",-0.03,6.97,,,,,,
1999,10,Octubre,38.81,"1,164.19",0.72,3.63,,,,,,
