No,Dep,Mun,Est,Zo,ET
1,1,1,D,P,1
2,1,2,C,G,1
3,1,3,A,G,1
4,1,3,D,P,1
5,1,3,D,P,2
6,1,5,A,G,1
7,1,5,C,G,1
8,1,5,C,G,2
9,1,5,D,P,1
10,1,5,D,P,1
11,1,5,D,P,2
12,1,7,C,G,1
13,1,7,C,G,1
14,1,10,B,G,1
15,1,10,C,G,1
16,1,11,B,G,1
17,1,11,C,G,1
18,1,12,B,G,1
19,1,12,C,G,1
20,1,12,D,P,1
21,1,13,A,G,1
22,1,13,A,G,2
23,1,13,C,G,1
24,1,13,C,G,2
25,1,13,D,P,1
26,1,13,D,P,2
27,1,14,A,G,1
28,1,14,A,G,1
29,1,16,A,G,1
30,1,16,A,G,1
31,1,16,A,G,1
32,1,16,A,G,1
33,1,16,A,G,1
34,1,16,C,G,1
35,1,16,C,G,1
36,1,16,C,G,1
37,2,1,C,G,1
38,2,1,C,G,1
39,2,1,C,G,2
40,2,1,D,P,1
41,2,2,D,P,1
42,2,2,D,P,1
43,2,2,D,P,1
44,2,2,D,P,1
45,2,2,D,P,1
46,2,2,D,P,2
47,2,2,D,P,2
48,2,2,D,P,2
49,2,3,D,P,1
50,2,3,D,P,2
51,2,4,A,G,1
52,2,5,A,G,1
53,2,5,A,G,2
54,2,5,D,P,1
55,2,6,A,G,1
56,2,6,C,G,1
57,2,6,D,P,1
58,2,6,D,P,1
59,2,6,D,P,2
60,2,7,C,G,1
61,2,7,D,P,1
62,2,7,D,P,1
63,2,7,D,P,2
64,2,7,D,P,2
65,2,8,D,P,1
66,3,1,C,G,1
67,3,1,C,G,1
68,3,2,C,G,1
69,3,3,A,G,1
70,3,5,B,G,1
71,3,6,B,G,1
72,3,11,B,G,1
73,3,11,B,G,1
74,3,13,B,G,1
75,3,14,A,G,1
76,3,14,B,G,1
77,3,14,B,G,1
78,3,14,D,P,1
79,3,15,D,P,1
80,4,2,C,G,1
81,4,2,D,P,1
82,4,3,C,G,1
83,4,3,C,G,1
84,4,3,C,G,1
85,4,3,D,P,1
86,4,3,D,P,1
87,4,3,D,P,1
88,4,3,D,P,1
89,4,3,D,P,1
90,4,3,D,P,1
91,4,4,B,G,1
92,4,6,B,G,1
93,4,6,C,G,1
94,4,6,C,G,1
95,4,6,C,G,1
96,4,6,C,G,1
97,4,6,C,G,1
98,4,6,C,G,1
99,4,7,B,G,1
